ID,Title,Avatar,Voice,Duration,Type,Script
CISA-D1-OV-01,Domain 1 Overview: The IS Audit Process,Wayne_20240711_1,en-US-GuyNeural,15,overview,"Welcome to Domain 1 of the CISA exam. I'm Marcus, and I've been conducting IS audits for over fifteen years. <break time='0.8s'/> This domain carries twenty-one percent of your exam score. That's roughly thirty-two questions. And here's what makes it special: <break time='0.5s'/> while the other domains test what you know about IT, this domain tests whether you know how to audit. <break time='1s'/> Think of Domain 1 as your auditor's toolkit. We'll cover the entire audit lifecycle, from that first planning meeting all the way through the final report. <break time='0.5s'/> You'll learn why we use risk-based auditing, how to gather evidence that actually holds up, and when to use statistical sampling versus judgmental sampling. <break time='0.8s'/> Here's a mental map for you. Domain 1 breaks into three big chunks. First: Planning. This is where you scope the audit, assess risks, and figure out what you're actually going to test. Second: Execution. This is fieldwork. You're gathering evidence, testing controls, documenting everything. Third: Reporting. You communicate findings, get management responses, and track remediation. <break time='1s'/> Now, why does ISACA weight this at twenty-one percent? Because you can memorize every IT control in existence, but if you don't know how to properly plan an audit, gather sufficient evidence, and communicate findings professionally, you're not ready to be a CISA. <break time='0.8s'/> The exam will test your judgment. They'll give you scenarios where you need to decide: What's the next step? What evidence is most reliable? When do you escalate? <break time='0.5s'/> As you work through the lessons and practice questions in this domain, keep asking yourself: What would a competent IS auditor do in this situation? <break time='0.8s'/> Let's build your audit foundation. See you in the next video where we'll break down the complete IS audit lifecycle."
CISA-D1-MA-01,Domain 1 Memory Aids,Wayne_20240711_1,en-US-GuyNeural,5,memory_aid,"Let's lock in the key terms from Domain 1 with some memory tricks that will stick. <break time='0.5s'/> First up: the types of audit evidence. Remember: PAID. P for Physical observation. A for Analytical procedures. I for Inquiries and interviews. D for Documentation review. When the exam asks about evidence, think: have I been PAID? <break time='0.8s'/> Next: sampling. There are two types, and they rhyme. Statistical is mathematical. Judgmental is judgmental. Statistical sampling lets you project results to the whole population with measurable confidence. Judgmental relies on your professional expertise. Neither is wrong; they serve different purposes. <break time='0.8s'/> For audit risk, remember this formula: Audit Risk equals Inherent Risk times Control Risk times Detection Risk. The shortcut? A equals I times C times D. Or just remember: I Can Detect. Inherent, Control, Detection. <break time='0.5s'/> Finally, control testing. Compliance testing asks: Is the control being followed? Substantive testing asks: Are the numbers accurate? Think: Compliance is about Conformance. Substantive is about Substance, the actual data. <break time='0.8s'/> Quick review. PAID for evidence types. Statistical is mathematical. I Can Detect for audit risk. Compliance equals conformance, substantive equals substance. <break time='0.5s'/> These will come back to you when you need them most."
CISA-D1-CO-01,The IS Audit Lifecycle,Wayne_20240711_1,en-US-GuyNeural,12,concept,"Every IS audit follows the same fundamental lifecycle. Master this, and you'll have a framework for answering any audit procedural question on the exam. <break time='0.8s'/> Phase one: Audit Planning. This is where most audits succeed or fail. You start by understanding the audit subject. What system? What process? What's the scope? Then you conduct a preliminary risk assessment. Where are the high-risk areas that deserve more testing? You develop your audit program, which is your detailed roadmap of what you'll test and how. <break time='0.5s'/> Here's an exam trap: the audit program should be flexible, not rigid. Conditions change during fieldwork. A good auditor adapts. <break time='1s'/> Phase two: Fieldwork and Evidence Gathering. Now you're in the field, executing your audit program. You're interviewing personnel, observing processes, reviewing documentation, and running technical tests. Everything gets documented in your workpapers. <break time='0.5s'/> Key point for the exam: documentation must be sufficient for another qualified auditor to understand what you did and why. If it's not in the workpapers, it didn't happen. <break time='1s'/> Phase three: Analysis and Evaluation. You've gathered your evidence. Now you evaluate what it means. Are controls designed properly? Are they operating effectively? Where are the gaps? This is where you identify findings and assess their significance. <break time='0.8s'/> Phase four: Reporting. You document your findings, conclusions, and recommendations. Before the final report, you hold an exit conference with management. This is critical: it's where management can correct factual errors and provide responses to findings. No surprises in the final report. <break time='0.8s'/> Phase five: Follow-Up. The audit isn't truly complete until you verify that management has addressed the findings. This might be a separate follow-up audit or part of the next regular audit cycle. <break time='0.5s'/> On the exam, remember: auditors provide assurance and make recommendations. We don't implement controls ourselves. That would compromise our independence."
CISA-D1-CO-02,Risk-Based Auditing,Wayne_20240711_1,en-US-GuyNeural,10,concept,"Why do we use risk-based auditing? Because we can't audit everything. Resources are finite. Time is limited. So we focus our effort where it matters most. <break time='0.8s'/> Risk-based auditing means we direct our work toward the areas with the highest risk of material misstatement, fraud, or control failure. The higher the risk, the more testing we do. <break time='0.5s'/> Let me break down how this works in practice. <break time='1s'/> Step one: Identify the audit universe. What systems, processes, and controls could we audit? This is your full inventory. <break time='0.8s'/> Step two: Assess risk for each item. We look at inherent risk, which is the risk that exists before any controls. And we look at control risk, which is the risk that controls won't prevent or detect problems. We might also consider business impact. If this system fails, what's the damage? <break time='0.8s'/> Step three: Prioritize. High risk areas get more audit attention. Low risk areas get less, or maybe just a basic review. This becomes your audit plan. <break time='0.5s'/> Here's a common exam scenario: You have limited time and need to decide where to focus. The answer is almost always: focus on high-risk areas first. An item that's high impact and has weak controls should be at the top of your list. <break time='1s'/> Now, here's a nuance the exam tests. Risk assessment is not a one-time event. You should reassess risk continuously during the audit. If you discover something unexpected during fieldwork, you adjust your approach. <break time='0.8s'/> One more concept: audit risk. This is the risk that you, the auditor, will issue an incorrect opinion. You might say controls are effective when they're not. Audit risk has three components. Inherent risk and control risk are outside your control. But detection risk is within your control. You reduce detection risk by doing more testing, using better procedures, and applying professional skepticism. <break time='0.5s'/> The formula is: Audit Risk equals Inherent Risk times Control Risk times Detection Risk. Remember: I Can Detect."
CISA-D2-OV-01,Domain 2 Overview: IT Governance,Kristin_public_3_20240108,en-US-JennyNeural,15,overview,"Welcome to Domain 2: Governance and Management of IT. I'm Sarah, and I specialize in IT governance frameworks. <break time='0.8s'/> This domain represents seventeen percent of your exam, roughly twenty-five questions. And let me tell you, this is where many candidates struggle. Not because the concepts are hard, but because they blur together. Governance, management, COBIT, ITIL, ISO. It can feel like alphabet soup. <break time='0.5s'/> Let's bring clarity. <break time='1s'/> The central question of Domain 2 is this: Is IT being directed, controlled, and measured in a way that supports the organization's objectives? <break time='0.8s'/> Here's the map. Domain 2 covers four major areas. <break time='0.5s'/> First: IT Governance versus IT Management. These are not the same thing. Governance is about direction and oversight. It's what the board and executives do. Management is about execution. It's what IT leadership does day to day. The exam loves this distinction. <break time='0.8s'/> Second: Frameworks. COBIT for governance, ITIL for service management, ISO 27001 for security, COSO for enterprise risk. You don't need to memorize every detail, but you need to know what each framework does and when to use it. <break time='0.8s'/> Third: Strategy and Planning. How does IT strategy align with business strategy? What's the IT strategic plan? What about the portfolio of IT investments? <break time='0.8s'/> Fourth: Risk and Resource Management. How does the organization identify, assess, and respond to IT risks? How does it manage IT resources: people, money, vendors? <break time='1s'/> Here's why this domain matters for auditors. When you audit any IT area, you're ultimately asking whether governance and management provided appropriate direction and oversight. Weak governance is the root cause of many IT failures. <break time='0.5s'/> As we go through this domain, pay attention to roles and responsibilities. Who owns what? The board provides oversight. Management provides direction. IT implements. When these boundaries blur, problems occur. <break time='0.8s'/> Let's dig into the frameworks and build your governance foundation."
CISA-D2-MA-01,COBIT vs ITIL vs ISO Visual Guide,Kristin_public_3_20240108,en-US-JennyNeural,5,memory_aid,"Three frameworks, three different purposes. Let's sort them out so you never confuse them again. <break time='0.8s'/> COBIT. Think: Control Objectives. COBIT is about IT governance and management. It helps organizations ensure that IT delivers value and manages risk. When the exam asks about aligning IT with business goals, or about governance frameworks, COBIT is usually the answer. <break time='0.5s'/> Memory trick: COBIT has Objectives. Big picture governance. <break time='1s'/> ITIL. Think: IT Service Management. ITIL is about delivering IT services efficiently. Incident management, problem management, change management, service desk. When the exam asks about IT operations and service delivery, ITIL is usually the answer. <break time='0.5s'/> Memory trick: ITIL serves IT. Service management. <break time='1s'/> ISO 27001 and 27002. Think: Information Security. ISO 27001 is the standard for information security management systems. 27002 provides the security controls. When the exam asks about security governance or security standards, ISO 27000 series is usually the answer. <break time='0.5s'/> Memory trick: ISO secures Info. Security standards. <break time='0.8s'/> Quick summary to lock it in. COBIT governs. ITIL serves. ISO secures. <break time='0.5s'/> One more tip: these frameworks aren't competitors. Organizations often use all three together. COBIT for governance, ITIL for operations, ISO for security. They're complementary layers."
CISA-D2-FW-01,COBIT Framework Deep Dive,Kristin_public_3_20240108,en-US-JennyNeural,15,framework,"COBIT is the most frequently tested framework on the CISA exam. Let's make sure you understand it inside and out. <break time='0.8s'/> COBIT stands for Control Objectives for Information and Related Technology. It was created by ISACA, the same organization that certifies CISAs. It provides a comprehensive framework for IT governance and management. <break time='0.5s'/> The current version is COBIT 2019, though the exam tests concepts rather than version-specific details. <break time='1s'/> Let's start with the core components. <break time='0.8s'/> First: Governance Objectives. COBIT identifies five governance objectives: Evaluate, Direct, and Monitor, often called EDM. Governance ensures that stakeholder needs are evaluated, direction is set, and performance is monitored. <break time='0.5s'/> Second: Management Objectives. COBIT groups management into four domains. APO means Align, Plan, and Organize. This includes strategy, enterprise architecture, and portfolio management. BAI means Build, Acquire, and Implement. This covers programs, projects, and change management. DSS means Deliver, Service, and Support. This is operations and service delivery. MEA means Monitor, Evaluate, and Assess. This is performance monitoring and compliance. <break time='0.8s'/> Memory trick for the domains: APO BAI DSS MEA. Or think: A People Business Does Some Special Meaningful Effort Always. <break time='1s'/> Now, how do you audit using COBIT? You assess whether the organization has defined processes, whether those processes are being followed, and whether they're achieving the intended outcomes. COBIT provides maturity models to help you rate process capability from incomplete to optimized. <break time='0.8s'/> Common exam scenarios: The question describes an IT problem. Your job is to identify which COBIT domain or process is most relevant. Strategy problem? APO. Implementation problem? BAI. Operations problem? DSS. Monitoring problem? MEA. <break time='0.5s'/> Here's an auditor's perspective: COBIT gives you a common language to discuss IT governance with management. Instead of saying 'your change process is broken,' you can reference COBIT BAI06 and point to specific control objectives that aren't being met. <break time='0.8s'/> Remember: COBIT is about governance. It helps you answer the question: Is IT being directed and controlled properly?"
CISA-D2-CP-01,IT Governance vs IT Management,Kristin_public_3_20240108,en-US-JennyNeural,8,comparison,"This is one of the most tested distinctions on the CISA exam. IT Governance versus IT Management. Let's make sure you never confuse them. <break time='1s'/> IT Governance asks: Are we doing the right things? IT Management asks: Are we doing things right? <break time='0.8s'/> Governance is about direction, oversight, and accountability. It's performed by the board of directors and executive management. They set strategic direction. They approve major investments. They ensure IT supports business objectives. <break time='0.5s'/> Management is about execution, implementation, and day-to-day operations. It's performed by IT leadership: the CIO, IT directors, managers. They implement the strategy. They run the operations. They deliver services. <break time='1s'/> Here's a simple test. If someone is setting policy, that's governance. If someone is implementing policy, that's management. If someone is providing oversight, that's governance. If someone is doing the work, that's management. <break time='0.8s'/> Exam trap: The question might describe a scenario and ask who is responsible. If it's about oversight, approval, or strategic direction, the answer involves the board or senior executives, meaning governance. If it's about implementation, operations, or technical decisions, the answer involves IT management. <break time='0.5s'/> Another trap: sometimes candidates think governance only applies to large enterprises. Wrong. Every organization, regardless of size, needs governance. The formality might differ, but the function is essential. <break time='1s'/> One more key point: Governance and management are not separate silos. They interact continuously. The board provides direction, management reports on performance, the board evaluates results and adjusts direction. It's a cycle. <break time='0.5s'/> Lock this in: Governance equals direction and oversight. Management equals execution and operations. Board governs. CIO manages."
CISA-D3-OV-01,Domain 3 Overview: Building Systems,Wayne_20240711_1,en-US-GuyNeural,12,overview,"Welcome to Domain 3: Information Systems Acquisition, Development, and Implementation. <break time='0.5s'/> At twelve percent, this is the smallest domain on the exam. But don't underestimate it. The questions here can be tricky because they test whether you understand the full system development lifecycle. <break time='1s'/> The core question of Domain 3 is this: When an organization builds or buys a system, are appropriate controls in place throughout the process? <break time='0.8s'/> Let me walk you through the territory. <break time='0.5s'/> First: The System Development Life Cycle, or SDLC. This is the backbone of Domain 3. You need to know the phases: feasibility study, requirements definition, design, development, testing, implementation, and post-implementation review. Each phase has specific control objectives. <break time='0.8s'/> Second: Methodologies. Waterfall versus Agile. Traditional versus iterative. The exam will test whether you know the differences and when each approach is appropriate. More importantly, you need to know how audit procedures differ based on the methodology used. <break time='0.8s'/> Third: Testing. Unit testing, integration testing, system testing, user acceptance testing, regression testing. What's the purpose of each? What order do they occur? Who's responsible? <break time='0.8s'/> Fourth: Change Management. Once a system is in production, how do changes get approved, tested, and implemented? This is a critical control area because unauthorized changes can introduce vulnerabilities or instability. <break time='0.5s'/> Fifth: Data Migration. When moving from an old system to a new system, how do you ensure data integrity? This is often overlooked but heavily tested. <break time='1s'/> From an auditor's perspective, we're looking for segregation of duties throughout the lifecycle. Developers shouldn't have access to production. Users should be involved in testing and approval. Changes should be authorized, tested, and documented. <break time='0.5s'/> The exam loves scenarios where something goes wrong during implementation. Your job is to identify what control was missing or bypassed. <break time='0.8s'/> Let's build your SDLC knowledge."
CISA-D3-MA-01,SDLC Phases Visual Map,Wayne_20240711_1,en-US-GuyNeural,5,memory_aid,"The System Development Life Cycle has seven phases. Let's create a visual map you can recall during the exam. <break time='0.8s'/> Think of it as building a house. <break time='0.5s'/> Phase one: Feasibility Study. Can we build this? Should we? This is where you assess technical feasibility, economic viability, and operational practicality. You're answering: Does this project make sense? <break time='0.8s'/> Phase two: Requirements Definition. What exactly are we building? You gather detailed requirements from stakeholders. Functional requirements say what the system must do. Non-functional requirements cover performance, security, and usability. <break time='0.8s'/> Phase three: Design. How will we build it? This includes architecture, database design, interface design, and security design. You're creating the blueprints. <break time='0.8s'/> Phase four: Development. Building time. Programmers write code. Configurations are set. The system takes shape. <break time='0.8s'/> Phase five: Testing. Does it work? Unit testing checks individual components. Integration testing checks how components work together. System testing checks the whole thing. UAT, or user acceptance testing, confirms it meets user needs. <break time='0.8s'/> Phase six: Implementation. Go live. The system moves to production. Users are trained. Data is migrated. <break time='0.8s'/> Phase seven: Post-Implementation Review. Did we succeed? You evaluate whether the project met its objectives and capture lessons learned. <break time='0.5s'/> Memory trick: Think FRDDITD. Feasibility, Requirements, Design, Development, Implementation, Testing, Documentation. Or use a phrase: Friendly Rabbits Don't Destroy Tall Indoor Plants. <break time='0.5s'/> Wait, I mixed up the order. Testing comes before Implementation. Let's use: FRDDT-IP. Feasibility, Requirements, Design, Development, Testing, Implementation, Post-review. <break time='0.5s'/> Better phrase: Friendly Rabbits Design Dope Technology, Implement Perfectly."
